书名,排名,豆瓣评分,作者,出版社
同意,No.1,8.7,[法] 瓦内莎·斯普林格拉,文汇出版社
东京八平米,No.2,8.4,[日]吉井忍,上海三联书店
我是谁？,No.3,8.9,[美]段义孚,上海书店出版社
复调,No.4,8.9,[美] 菲利普·肯尼科特,北京联合出版公司
终了之前,No.5,8.9,[阿根廷]埃内斯托·萨瓦托,四川文艺出版社
写作是一把刀,No.6,8.8,[法]安妮·埃尔诺,上海人民出版社
黑塞书信集,No.7,9.1,[德]赫尔曼·黑塞,上海人民出版社
生活的代价,No.8,8.6,[英]德博拉·利维,湖南文艺出版社
妈妈走后,No.9,8.2,[美]米歇尔·佐纳,北京联合出版公司
我以文字为业,No.10,8.6,[美] 厄休拉·勒古恩,河南文艺出版社
